year,gameid,tm_home,tm_score,opp_score,month,day,tm_ot,opp_ot,line_p,line_p_mon,tot_p,tot_p_omon,tot_p_umon,line_p_h1,line_p_mon_h1,tot_p_h1,tot_p_omon_h1,tot_p_umon_h1,tm_h1,tm_h2,opp_h1,opp_h2,season,week,tmid,oppid
2007,2875,1,13,14,8,30,,,-4,-102,53.5,-101,-109,-3,116,26.5,-114,104,3,10,7,7,2007,1,17,107
2007,2875,0,14,13,8,30,,,4,-108,53.5,-101,-109,3,-126,26.5,-114,104,7,7,3,10,2007,1,107,17
2007,2878,1,14,23,8,30,,,-3.5,101,45.5,-109,-101,,,,,,7,7,9,14,2007,1,82,88
2007,2878,0,23,14,8,30,,,3.5,-111,45.5,-109,-101,,,,,,9,14,7,7,2007,1,88,82
2007,2879,0,35,17,8,30,,,-3.5,106,53,-108,-102,,,,,,14,21,17,0,2007,1,202,97
2007,2879,1,17,35,8,30,,,3.5,-116,53,-108,-102,,,,,,17,0,14,21,2007,1,97,202
2007,2881,1,0,45,8,30,,,19.5,100,44,-111,101,11,-101,23,108,-118,0,0,17,28,2007,1,112,90
2007,2881,0,45,0,8,30,,,-19.5,-110,44,-111,101,-11,-109,23,108,-118,17,28,0,0,2007,1,90,112
2007,2883,1,24,7,8,30,,,-5,-102,52,-109,-101,-3.5,107,26.5,102,-112,7,17,7,0,2007,1,151,211
2007,2883,0,7,24,8,30,,,5,-108,52,-109,-101,3.5,-117,26.5,102,-112,7,0,7,17,2007,1,211,151
2007,2884,1,38,3,8,30,,,-31,101,49.5,-105,-105,-17,-125,27.5,111,-121,28,10,0,3,2007,1,162,25
2007,2884,0,3,38,8,30,,,31,-111,49.5,-105,-105,17,115,27.5,111,-121,0,3,28,10,2007,1,25,162
2007,2885,0,23,16,8,30,,,-6,-103,47,-115,105,-3.5,109,23.5,-105,-105,3,20,10,6,2007,1,207,212
2007,2885,1,16,23,8,30,,,6,-107,47,-115,105,3.5,-119,23.5,-105,-105,10,6,3,20,2007,1,212,207
2007,2886,1,12,42,8,31,,,3,100,43.5,-105,-105,1.5,-109,23,121,-133,6,6,14,28,2007,1,186,220
2007,2886,0,42,12,8,31,,,-3,-110,43.5,-105,-105,-1.5,-101,23,121,-133,14,28,6,6,2007,1,220,186
2007,2887,0,30,19,8,31,,,-21,-104,52.5,-104,-106,-11.5,-112,25.5,-127,117,24,6,10,9,2007,1,121,188
2007,2887,1,19,30,8,31,,,21,-106,52.5,-104,-106,11.5,102,25.5,-127,117,10,9,24,6,2007,1,188,121
2007,2889,1,22,14,9,1,,,-5.5,-110,42,-113,103,-3,-102,21.5,110,-120,19,3,7,7,2007,1,3,14
2007,2889,0,14,22,9,1,,,5.5,100,42,-113,103,3,-108,21.5,110,-120,7,7,19,3,2007,1,14,3
2007,2891,0,3,45,9,1,,,16.5,105,52,-115,105,8.5,106,24.5,-115,105,3,0,31,14,2007,1,168,10
2007,2891,1,45,3,9,1,,,-16.5,-115,52,-115,105,-8.5,-116,24.5,-115,105,31,14,3,0,2007,1,10,168
2007,2892,1,46,26,9,1,,,-22,100,46.5,-105,-105,-13.5,104,24,105,-115,23,23,17,9,2007,1,11,200
2007,2892,0,26,46,9,1,,,22,-110,46.5,-105,-105,13.5,-114,24,105,-115,17,9,23,23,2007,1,200,11
2007,2893,1,23,13,9,1,,,-13.5,-106,46,103,-113,-6.5,-118,23,107,-117,6,17,3,10,2007,1,15,87
2007,2893,0,13,23,9,1,,,13.5,-104,46,103,-113,6.5,108,23,107,-117,3,10,6,17,2007,1,87,15
2007,2894,0,28,38,9,1,,,6,-106,42,-111,101,3.5,-111,21.5,110,-120,21,7,21,17,2007,1,219,21
2007,2894,1,38,28,9,1,,,-6,-104,42,-111,101,-3.5,101,21.5,110,-120,21,17,21,7,2007,1,21,219
2007,2895,1,20,7,9,1,,,-3.5,103,47.5,-105,-105,,,,,,13,7,0,7,2007,1,23,9
2007,2895,0,7,20,9,1,,,3.5,-113,47.5,-105,-105,,,,,,0,7,13,7,2007,1,9,23
2007,2896,0,31,45,9,1,,,7,105,55,-114,104,3.5,117,27.5,-101,-109,21,10,31,14,2007,1,189,27
2007,2896,1,45,31,9,1,,,-7,-115,55,-114,104,-3.5,-127,27.5,-101,-109,31,14,21,10,2007,1,27,189
2007,2897,1,31,28,9,1,3,0,-2.5,100,45.5,-102,-108,-1.5,-106,22.5,101,-111,17,14,14,14,2007,1,40,41
2007,2897,0,28,31,9,1,0,3,2.5,-110,45.5,-102,-108,1.5,-104,22.5,101,-111,14,14,17,14,2007,1,41,40
2007,2898,0,45,14,9,1,,,-4,101,51.5,-105,-105,-2.5,-104,26.5,104,-114,11,34,14,0,2007,1,42,46
2007,2898,1,14,45,9,1,,,4,-111,51.5,-105,-105,2.5,-106,26.5,104,-114,14,0,11,34,2007,1,46,42
